,model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,dataset_name
110,identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,sciplex3-hvg-top1k_50
111,observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,sciplex3-hvg-top1k_50
112,scgen,dacinostat,50,0.7709164195186162,1.2612344,0.011142469223123,sciplex3-hvg-top1k_50
113,w1ot,dacinostat,50,0.8487832975257399,1.2877005,0.009631270635873,sciplex3-hvg-top1k_50
114,w2ot,dacinostat,50,0.9675907286694272,0.74000776,0.0069127893063705,sciplex3-hvg-top1k_50
115,identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,sciplex3-hvg-top1k_50
116,observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,sciplex3-hvg-top1k_50
117,scgen,givinostat,50,0.8150206478923497,1.1475366,0.0098476902465336,sciplex3-hvg-top1k_50
118,w1ot,givinostat,50,0.8252643090715037,1.116579,0.009453992836643,sciplex3-hvg-top1k_50
119,w2ot,givinostat,50,0.9774079467058904,0.71543694,0.0077810234809294,sciplex3-hvg-top1k_50
120,identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,sciplex3-hvg-top1k_50
121,observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,sciplex3-hvg-top1k_50
122,scgen,tanespimycin,50,0.8855786461400873,0.59608966,0.009167930688709,sciplex3-hvg-top1k_50
123,w1ot,tanespimycin,50,0.9213556136874624,0.6042373,0.0081248780782334,sciplex3-hvg-top1k_50
124,w2ot,tanespimycin,50,0.9212680861756968,0.64134705,0.0100698102556634,sciplex3-hvg-top1k_50
125,identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,sciplex3-hvg-top1k_50
126,observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,sciplex3-hvg-top1k_50
127,scgen,jnj,50,0.9458710807986468,0.38188535,0.0207115970551967,sciplex3-hvg-top1k_50
128,w1ot,jnj,50,0.9693662186625458,0.32945234,0.0083675164729356,sciplex3-hvg-top1k_50
129,w2ot,jnj,50,0.967138618521822,0.3444736,0.0101244360208511,sciplex3-hvg-top1k_50
130,identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,sciplex3-hvg-top1k_50
131,observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,sciplex3-hvg-top1k_50
132,scgen,jnj,50,0.961534181268468,0.32160294,0.0104321455955505,sciplex3-hvg-top1k_50
133,w1ot,jnj,50,0.9710617094591047,0.31946963,0.0055779851973056,sciplex3-hvg-top1k_50
134,w2ot,jnj,50,0.9647622928339468,0.45414063,0.0062486435472965,sciplex3-hvg-top1k_50
135,identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,sciplex3-hvg-top1k_50
136,observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,sciplex3-hvg-top1k_50
137,scgen,tak,50,0.932602588713159,0.74543995,0.0090018764253909,sciplex3-hvg-top1k_50
138,w1ot,tak,50,0.9609645795890528,0.6114559,0.0079838200142694,sciplex3-hvg-top1k_50
139,w2ot,tak,50,0.9446595495723932,0.633301,0.0068841988778876,sciplex3-hvg-top1k_50
140,identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,sciplex3-hvg-top1k_50
141,observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,sciplex3-hvg-top1k_50
142,scgen,alvespimycin,50,0.7452888190821787,0.86966926,0.0110136566031724,sciplex3-hvg-top1k_50
143,w1ot,alvespimycin,50,0.9059945511521716,0.5514429,0.0079861828056164,sciplex3-hvg-top1k_50
144,w2ot,alvespimycin,50,0.924414382871751,0.6120235,0.0105762928444892,sciplex3-hvg-top1k_50
145,identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,sciplex3-hvg-top1k_50
146,observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,sciplex3-hvg-top1k_50
147,scgen,alvespimycin,50,0.8248225155604104,0.74693906,0.0081672384380362,sciplex3-hvg-top1k_50
148,w1ot,alvespimycin,50,0.9202588730480828,0.49886405,0.0056115950853563,sciplex3-hvg-top1k_50
149,w2ot,alvespimycin,50,0.9257939459758404,0.5367751,0.006470669300761,sciplex3-hvg-top1k_50
150,identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,sciplex3-hvg-top1k_50
151,observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,sciplex3-hvg-top1k_50
152,scgen,dacinostat,50,0.7904964746875879,1.2645168,0.0100633321795612,sciplex3-hvg-top1k_50
153,w1ot,dacinostat,50,0.8553716524140988,1.3170202,0.0104809367004781,sciplex3-hvg-top1k_50
154,w2ot,dacinostat,50,0.9649807038679706,0.6434463,0.0068011006293818,sciplex3-hvg-top1k_50
155,identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,sciplex3-hvg-top1k_50
156,observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,sciplex3-hvg-top1k_50
157,scgen,belinostat,50,0.8540175622698918,0.96524394,0.0082179066380194,sciplex3-hvg-top1k_50
158,w1ot,belinostat,50,0.8595813639632247,0.821727,0.0050208483265305,sciplex3-hvg-top1k_50
159,w2ot,belinostat,50,0.9002098824587066,0.7935597,0.0068729511106721,sciplex3-hvg-top1k_50
160,identity,belinostat,50,0.4722178793395312,1.5755478,0.0088334102847147,sciplex3-hvg-top1k_50
161,observed,belinostat,50,0.9770335956782484,0.36998373,0.0016709705884568,sciplex3-hvg-top1k_50
162,scgen,belinostat,50,0.8416528450741726,1.0533141,0.0123715665952477,sciplex3-hvg-top1k_50
163,w1ot,belinostat,50,0.7843092724660128,1.0306836,0.0070454241536208,sciplex3-hvg-top1k_50
164,w2ot,belinostat,50,0.9037003944104454,0.885698,0.0100239704317209,sciplex3-hvg-top1k_50
165,identity,tanespimycin,50,0.687473279020452,1.0592682,0.0074127478781156,sciplex3-hvg-top1k_50
166,observed,tanespimycin,50,0.975201506457582,0.27739877,0.002785794949159,sciplex3-hvg-top1k_50
167,scgen,tanespimycin,50,0.8454439182946004,0.6862942,0.0086681191431125,sciplex3-hvg-top1k_50
168,w1ot,tanespimycin,50,0.9361098737246488,0.5333207,0.0062554135464597,sciplex3-hvg-top1k_50
169,w2ot,tanespimycin,50,0.9434420431297332,0.5474252,0.007673804408987,sciplex3-hvg-top1k_50
170,identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,sciplex3-hvg-top1k_50
171,observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,sciplex3-hvg-top1k_50
172,scgen,tanespimycin,50,0.8855786461400873,0.59608966,0.009167930688709,sciplex3-hvg-top1k_50
173,w1ot,tanespimycin,50,0.9284460955375554,0.59577644,0.0086421298305504,sciplex3-hvg-top1k_50
174,w2ot,tanespimycin,50,0.932009310973825,0.62750095,0.0102953573607373,sciplex3-hvg-top1k_50
175,identity,dacinostat,50,0.0507210155656613,3.404473,0.0298068800335749,sciplex3-hvg-top1k_50
176,observed,dacinostat,50,0.974716615465846,0.40933546,0.0024175770767033,sciplex3-hvg-top1k_50
177,scgen,dacinostat,50,0.7833353418504253,1.3615483,0.0104297317925374,sciplex3-hvg-top1k_50
178,w1ot,dacinostat,50,0.8461561370149616,1.3121681,0.0093969691451638,sciplex3-hvg-top1k_50
179,w2ot,dacinostat,50,0.9714201333689148,0.727412,0.0063532056484837,sciplex3-hvg-top1k_50
180,identity,jnj,50,0.9701748771221158,0.68031627,0.0024343830347061,sciplex3-hvg-top1k_50
181,observed,jnj,50,0.9863947974968614,0.19591069,0.0013776642084121,sciplex3-hvg-top1k_50
182,scgen,jnj,50,0.9401383634832544,0.406549,0.0183132414519786,sciplex3-hvg-top1k_50
183,w1ot,jnj,50,0.9675037415956158,0.3566492,0.0069162413477897,sciplex3-hvg-top1k_50
184,w2ot,jnj,50,0.948740000623826,0.48946786,0.0049068453162908,sciplex3-hvg-top1k_50
185,identity,hesperadin,50,0.6310896889122442,1.5533723,0.0078915641875937,sciplex3-hvg-top1k_50
186,observed,hesperadin,50,0.979873594530814,0.33458123,0.0022058552724774,sciplex3-hvg-top1k_50
187,scgen,hesperadin,50,0.8712173916891912,1.0989674,0.0099068753939354,sciplex3-hvg-top1k_50
188,w1ot,hesperadin,50,0.7945071067750497,1.1420848,0.0073678294435376,sciplex3-hvg-top1k_50
189,w2ot,hesperadin,50,0.8157490033693959,1.1758916,0.0067058075300883,sciplex3-hvg-top1k_50
190,identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,sciplex3-hvg-top1k_50
191,observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,sciplex3-hvg-top1k_50
192,scgen,hesperadin,50,0.8181142905855672,1.2639773,0.0108478159110381,sciplex3-hvg-top1k_50
193,w1ot,hesperadin,50,0.8856141571956204,1.0306821,0.0072295211323944,sciplex3-hvg-top1k_50
194,w2ot,hesperadin,50,0.9560492614637413,0.71330166,0.0094075868573418,sciplex3-hvg-top1k_50
195,identity,tak,50,0.7253022819913997,1.1194472,0.0068323425611015,sciplex3-hvg-top1k_50
196,observed,tak,50,0.9688825153233064,0.3595411,0.0029434447025414,sciplex3-hvg-top1k_50
197,scgen,tak,50,0.848021591148504,0.8070144,0.0072055499165435,sciplex3-hvg-top1k_50
198,w1ot,tak,50,0.9373092588919404,0.53420097,0.0058360540156718,sciplex3-hvg-top1k_50
199,w2ot,tak,50,0.9369910156941328,0.5623155,0.0059291049114835,sciplex3-hvg-top1k_50
200,identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,sciplex3-hvg-top1k_50
201,observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,sciplex3-hvg-top1k_50
202,scgen,hesperadin,50,0.8776653099689995,1.2428695,0.0119269288711075,sciplex3-hvg-top1k_50
203,w1ot,hesperadin,50,0.8774267822006704,1.1082942,0.0080610977306787,sciplex3-hvg-top1k_50
204,w2ot,hesperadin,50,0.9516023941772378,0.9755913,0.0117557344397209,sciplex3-hvg-top1k_50
205,identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,sciplex3-hvg-top1k_50
206,observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,sciplex3-hvg-top1k_50
207,scgen,belinostat,50,0.8891266762424661,0.91541547,0.0098617301388003,sciplex3-hvg-top1k_50
208,w1ot,belinostat,50,0.8626153111461993,0.85871667,0.0055288069191738,sciplex3-hvg-top1k_50
209,w2ot,belinostat,50,0.9712763151104415,0.56367165,0.0060846699726971,sciplex3-hvg-top1k_50
210,identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,sciplex3-hvg-top1k_50
211,observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,sciplex3-hvg-top1k_50
212,scgen,dacinostat,50,0.8498173188300799,0.9902984,0.0072814144100993,sciplex3-hvg-top1k_50
213,w1ot,dacinostat,50,0.7672316498579625,1.4697089,0.0105801549414172,sciplex3-hvg-top1k_50
214,w2ot,dacinostat,50,0.9547651907760242,0.6823602,0.0074608041835017,sciplex3-hvg-top1k_50
215,identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,sciplex3-hvg-top1k_50
216,observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,sciplex3-hvg-top1k_50
217,scgen,tak,50,0.91813921418965,0.7696887,0.0105354942457051,sciplex3-hvg-top1k_50
218,w1ot,tak,50,0.938422391652435,0.6713228,0.0075103114880039,sciplex3-hvg-top1k_50
219,w2ot,tak,50,0.9361611582881209,0.6417197,0.0058017682506761,sciplex3-hvg-top1k_50
220,identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,sciplex3-hvg-top1k_50
221,observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,sciplex3-hvg-top1k_50
222,scgen,flavopiridol,50,0.8387885920684616,0.8849919,0.0106401563637655,sciplex3-hvg-top1k_50
223,w1ot,flavopiridol,50,0.918110172397345,0.6440163,0.007812837556321,sciplex3-hvg-top1k_50
224,w2ot,flavopiridol,50,0.9286943960135357,0.7089716,0.0102271047169051,sciplex3-hvg-top1k_50
225,identity,flavopiridol,50,0.7362034946756042,1.1569718,0.0073104525308008,sciplex3-hvg-top1k
226,observed,flavopiridol,50,0.9735733853992352,0.34677762,0.0030339465220458,sciplex3-hvg-top1k
227,scgen,flavopiridol,50,0.9282268687551392,0.7235334,0.0108652304127281,sciplex3-hvg-top1k
228,w1ot,flavopiridol,50,0.9679692882843364,0.52538544,0.0040479689813219,sciplex3-hvg-top1k
229,w2ot,flavopiridol,50,0.8815271372833376,1.0533096,0.0255912652427516,sciplex3-hvg-top1k
230,identity,givinostat,50,0.4176520470652645,2.036073,0.0099074257351458,sciplex3-hvg-top1k
231,observed,givinostat,50,0.9683895318292584,0.45088693,0.002492717069108,sciplex3-hvg-top1k
232,scgen,givinostat,50,0.8633305007572817,1.0161865,0.009687234791927,sciplex3-hvg-top1k
233,w1ot,givinostat,50,0.434683485088529,2.0362391,0.0083635329548269,sciplex3-hvg-top1k
234,w2ot,givinostat,50,0.6553910784531066,1.5634674,0.0552762303392714,sciplex3-hvg-top1k
235,identity,belinostat,50,0.5375346009835423,1.5128794,0.0084792575341998,sciplex3-hvg-top1k
236,observed,belinostat,50,0.9717329667279556,0.369087,0.0017509625927777,sciplex3-hvg-top1k
237,scgen,belinostat,50,0.8452491872368022,1.0410446,0.010028095947855,sciplex3-hvg-top1k
238,w1ot,belinostat,50,0.768943281413928,0.9601634,0.0051982659868372,sciplex3-hvg-top1k
239,w2ot,belinostat,50,0.715610707275156,1.2805886,0.0276387409810895,sciplex3-hvg-top1k
240,identity,tak,50,0.8126380808688125,0.925536,0.0052029423910425,sciplex3-hvg-top1k
241,observed,tak,50,0.9833974382033238,0.26009887,0.0026048361710854,sciplex3-hvg-top1k
242,scgen,tak,50,0.8649786748806557,0.7762006,0.0070202326463186,sciplex3-hvg-top1k
243,w1ot,tak,50,0.9621333254589683,0.4241353,0.003400239754701,sciplex3-hvg-top1k
244,w2ot,tak,50,0.6628591761464502,1.3883281,0.0366063554320372,sciplex3-hvg-top1k
245,identity,jnj,50,0.9636013994138344,0.9403704,0.0050042257457971,sciplex3-hvg-top1k
246,observed,jnj,50,0.9730546187736312,0.36738774,0.0015787632763385,sciplex3-hvg-top1k
247,scgen,jnj,50,0.934946764359649,0.42612937,0.0152728442847728,sciplex3-hvg-top1k
248,w1ot,jnj,50,0.9819955130350004,0.41307998,0.0047233518585562,sciplex3-hvg-top1k
249,w2ot,jnj,50,0.7777116257353063,1.1159097,0.0361786859212219,sciplex3-hvg-top1k
250,identity,hesperadin,50,0.6451032161992201,1.5102707,0.0074008128122659,sciplex3-hvg-top1k
251,observed,hesperadin,50,0.9752714960517848,0.4130655,0.0023362152848858,sciplex3-hvg-top1k
252,scgen,hesperadin,50,0.9287930368401844,0.99051136,0.0090548578236484,sciplex3-hvg-top1k
253,w1ot,hesperadin,50,0.933154762662618,0.58642995,0.0032854445802513,sciplex3-hvg-top1k
254,w2ot,hesperadin,50,0.5955043344373419,1.9709923,0.0257913276443224,sciplex3-hvg-top1k
255,identity,flavopiridol,50,0.6757880375569877,1.3254113,0.0086532435058325,sciplex3-hvg-top1k
256,observed,flavopiridol,50,0.9275810889917668,0.6026908,0.0037845487220329,sciplex3-hvg-top1k
257,scgen,flavopiridol,50,0.8558045282790829,0.97654325,0.0125549598234647,sciplex3-hvg-top1k
258,w1ot,flavopiridol,50,0.8961147473847904,0.8013609,0.0052498828344687,sciplex3-hvg-top1k
259,w2ot,flavopiridol,50,0.8263112650746421,1.2492757,0.0262922388817821,sciplex3-hvg-top1k
260,identity,tanespimycin,50,0.730009167244807,0.92046684,0.0068321170425042,sciplex3-hvg-top1k
261,observed,tanespimycin,50,0.9713354427153412,0.30230856,0.0029944237577728,sciplex3-hvg-top1k
262,scgen,tanespimycin,50,0.8362369294241075,0.7008233,0.0083917744015343,sciplex3-hvg-top1k
