model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,cell_wasserstein,dataset_name
observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,3.5816736980540256,sciplex3-hvg-top1k_50
scgen,tanespimycin,50,0.8909352552540636,0.5939832,0.0084592390886973,3.6102709136268176,sciplex3-hvg-top1k_50
w1ot,tanespimycin,50,0.9589156898576748,0.44085473,0.0056022850866429,3.538171650125403,sciplex3-hvg-top1k_50
w2ot,tanespimycin,50,0.93133104871877,0.609304,0.0081969098863191,3.495055107280428,sciplex3-hvg-top1k_50
identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,4.146153506479986,sciplex3-hvg-top1k_50
observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,3.2993815597458305,sciplex3-hvg-top1k_50
scgen,alvespimycin,50,0.732428259277184,0.8911366,0.009672420816496,3.490550312602016,sciplex3-hvg-top1k_50
w1ot,alvespimycin,50,0.943185876305886,0.40231782,0.0063737516966648,3.409699938482317,sciplex3-hvg-top1k_50
w2ot,alvespimycin,50,0.9308106402933638,0.5668662,0.0098956681042909,3.193241169008699,sciplex3-hvg-top1k_50
identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,4.1716807309574016,sciplex3-hvg-top1k_50
observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,4.0454624928719,sciplex3-hvg-top1k_50
scgen,tak,50,0.932602588713159,0.74543995,0.0090018764253909,3.8332818809436393,sciplex3-hvg-top1k_50
w1ot,tak,50,0.9609645795890528,0.6114559,0.0079838200142694,3.945213533427558,sciplex3-hvg-top1k_50
w2ot,tak,50,0.9432339522049024,0.6287791,0.0069865471786761,3.873664162470659,sciplex3-hvg-top1k_50
identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,4.845600914170623,sciplex3-hvg-top1k_50
observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,4.224248418620469,sciplex3-hvg-top1k_50
scgen,flavopiridol,50,0.848152739056352,0.852757,0.0092363138642213,4.270014338771551,sciplex3-hvg-top1k_50
w1ot,flavopiridol,50,0.8539892021676865,0.829533,0.0075181130417331,4.299699176658549,sciplex3-hvg-top1k_50
w2ot,flavopiridol,50,0.9118072807070662,0.75111896,0.0095565435727439,4.146900985274408,sciplex3-hvg-top1k_50
identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,4.845600914170623,sciplex3-hvg-top1k_50
observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,4.224248418620469,sciplex3-hvg-top1k_50
scgen,flavopiridol,50,0.848152739056352,0.852757,0.0092363138642213,4.270014338771551,sciplex3-hvg-top1k_50
w1ot,flavopiridol,50,0.8657180735883712,0.8005194,0.0074224823344411,4.298637408791572,sciplex3-hvg-top1k_50
w2ot,flavopiridol,50,0.9144442596120528,0.7288093,0.0093647505747867,4.161881968170374,sciplex3-hvg-top1k_50
identity,givinostat,50,0.3529843654970617,2.2416875,0.0100770055782049,4.843330370855394,sciplex3-hvg-top1k_50
observed,givinostat,50,0.9717259832899026,0.3889686,0.0021095079928636,3.658814336300019,sciplex3-hvg-top1k_50
scgen,givinostat,50,0.7524105465692169,1.3095089,0.0110045328945852,4.573279964132188,sciplex3-hvg-top1k_50
w1ot,givinostat,50,0.957594943206871,0.7332132,0.0068509219237603,3.720378536385118,sciplex3-hvg-top1k_50
w2ot,givinostat,50,0.9707349201668596,0.46825024,0.0036978921480476,3.74942753273666,sciplex3-hvg-top1k_50
identity,alvespimycin,50,0.576277849695345,1.1907061,0.0075967659894376,4.077093936282937,sciplex3-hvg-top1k_50
observed,alvespimycin,50,0.981679687110324,0.23399451,0.0025112416269257,3.264887656315239,sciplex3-hvg-top1k_50
scgen,alvespimycin,50,0.860597507682048,0.6653573,0.0117574224807322,3.367977979517421,sciplex3-hvg-top1k_50
w1ot,alvespimycin,50,0.8530561809090463,0.6372943,0.0080898712109774,3.435555095096399,sciplex3-hvg-top1k_50
w2ot,alvespimycin,50,0.935707056154223,0.5558357,0.0096690896502695,3.2569462042897928,sciplex3-hvg-top1k_50
identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,4.7097611413159965,sciplex3-hvg-top1k_50
observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,3.6904427595734783,sciplex3-hvg-top1k_50
scgen,givinostat,50,0.8353121039132201,1.0557512,0.0117932486964855,4.386240402145709,sciplex3-hvg-top1k_50
w1ot,givinostat,50,0.8857177650060398,0.9699536,0.0107452587946318,3.777807791093016,sciplex3-hvg-top1k_50
w2ot,givinostat,50,0.9747922758477592,0.78531545,0.0102570808958262,3.7747787939846775,sciplex3-hvg-top1k_50
identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,3.658871890344867,sciplex3-hvg-top1k_50
observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,3.250268557851044,sciplex3-hvg-top1k_50
scgen,jnj,50,0.9502086444361048,0.37121606,0.0137177601456642,3.37268651171117,sciplex3-hvg-top1k_50
w1ot,jnj,50,0.96645075209646,0.38319755,0.0070659289509058,3.1517935098258856,sciplex3-hvg-top1k_50
w2ot,jnj,50,0.9609602896724232,0.5685774,0.0083024545013904,3.1675356528735312,sciplex3-hvg-top1k_50
identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,4.146153506479986,sciplex3-hvg-top1k_50
observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,3.2993815597458305,sciplex3-hvg-top1k_50
scgen,alvespimycin,50,0.732428259277184,0.8911366,0.009672420816496,3.490550312602016,sciplex3-hvg-top1k_50
w1ot,alvespimycin,50,0.943185876305886,0.40231782,0.0063737516966648,3.409699938482317,sciplex3-hvg-top1k_50
w2ot,alvespimycin,50,0.922074345972415,0.5854965,0.0101312490762211,3.2107212167415025,sciplex3-hvg-top1k_50
identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,6.018443176730672,sciplex3-hvg-top1k_50
observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,3.8510396177976425,sciplex3-hvg-top1k_50
scgen,dacinostat,50,0.7709164195186162,1.2612344,0.011142469223123,4.449905102201444,sciplex3-hvg-top1k_50
w1ot,dacinostat,50,0.8487832975257399,1.2877005,0.009631270635873,4.167342537459105,sciplex3-hvg-top1k_50
w2ot,dacinostat,50,0.9675907286694272,0.74000776,0.0069127893063705,4.039199407705405,sciplex3-hvg-top1k_50
identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,4.7097611413159965,sciplex3-hvg-top1k_50
observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,3.6904427595734783,sciplex3-hvg-top1k_50
scgen,givinostat,50,0.8150206478923497,1.1475366,0.0098476902465336,4.382745582083824,sciplex3-hvg-top1k_50
w1ot,givinostat,50,0.8252643090715037,1.116579,0.009453992836643,3.90273222257879,sciplex3-hvg-top1k_50
w2ot,givinostat,50,0.9774079467058904,0.71543694,0.0077810234809294,3.848280397886106,sciplex3-hvg-top1k_50
identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,3.982182990893091,sciplex3-hvg-top1k_50
observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,3.5816736980540256,sciplex3-hvg-top1k_50
scgen,tanespimycin,50,0.8855786461400873,0.59608966,0.009167930688709,3.555043391089144,sciplex3-hvg-top1k_50
w1ot,tanespimycin,50,0.9213556136874624,0.6042373,0.0081248780782334,3.525611638663509,sciplex3-hvg-top1k_50
w2ot,tanespimycin,50,0.9212680861756968,0.64134705,0.0100698102556634,3.386471462599966,sciplex3-hvg-top1k_50
identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,3.658871890344867,sciplex3-hvg-top1k_50
observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,3.250268557851044,sciplex3-hvg-top1k_50
scgen,jnj,50,0.9458710807986468,0.38188535,0.0207115970551967,3.4097697381006222,sciplex3-hvg-top1k_50
w1ot,jnj,50,0.9693662186625458,0.32945234,0.0083675164729356,3.181899475008282,sciplex3-hvg-top1k_50
w2ot,jnj,50,0.967138618521822,0.3444736,0.0101244360208511,3.168883153538471,sciplex3-hvg-top1k_50
identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,3.658871890344867,sciplex3-hvg-top1k_50
observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,3.250268557851044,sciplex3-hvg-top1k_50
scgen,jnj,50,0.961534181268468,0.32160294,0.0104321455955505,3.3305472926570365,sciplex3-hvg-top1k_50
w1ot,jnj,50,0.9710617094591047,0.31946963,0.0055779851973056,3.1711565658780985,sciplex3-hvg-top1k_50
w2ot,jnj,50,0.9647622928339468,0.45414063,0.0062486435472965,3.1108580355752244,sciplex3-hvg-top1k_50
identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,4.1716807309574016,sciplex3-hvg-top1k_50
observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,4.0454624928719,sciplex3-hvg-top1k_50
scgen,tak,50,0.932602588713159,0.74543995,0.0090018764253909,3.8332818809436393,sciplex3-hvg-top1k_50
w1ot,tak,50,0.9609645795890528,0.6114559,0.0079838200142694,3.945213533427558,sciplex3-hvg-top1k_50
w2ot,tak,50,0.9446595495723932,0.633301,0.0068841988778876,3.882089880300596,sciplex3-hvg-top1k_50
identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,4.146153506479986,sciplex3-hvg-top1k_50
observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,3.2993815597458305,sciplex3-hvg-top1k_50
scgen,alvespimycin,50,0.7452888190821787,0.86966926,0.0110136566031724,3.436080710338531,sciplex3-hvg-top1k_50
w1ot,alvespimycin,50,0.9059945511521716,0.5514429,0.0079861828056164,3.2662803329492816,sciplex3-hvg-top1k_50
w2ot,alvespimycin,50,0.924414382871751,0.6120235,0.0105762928444892,3.193140594408997,sciplex3-hvg-top1k_50
identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,4.146153506479986,sciplex3-hvg-top1k_50
observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,3.2993815597458305,sciplex3-hvg-top1k_50
scgen,alvespimycin,50,0.8248225155604104,0.74693906,0.0081672384380362,3.4931976896757946,sciplex3-hvg-top1k_50
w1ot,alvespimycin,50,0.9202588730480828,0.49886405,0.0056115950853563,3.401092429762434,sciplex3-hvg-top1k_50
w2ot,alvespimycin,50,0.9257939459758404,0.5367751,0.006470669300761,3.2788096444711847,sciplex3-hvg-top1k_50
identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,6.018443176730672,sciplex3-hvg-top1k_50
observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,3.8510396177976425,sciplex3-hvg-top1k_50
scgen,dacinostat,50,0.7904964746875879,1.2645168,0.0100633321795612,4.509731608461962,sciplex3-hvg-top1k_50
w1ot,dacinostat,50,0.8553716524140988,1.3170202,0.0104809367004781,4.244956671678732,sciplex3-hvg-top1k_50
w2ot,dacinostat,50,0.9649807038679706,0.6434463,0.0068011006293818,3.93559822394032,sciplex3-hvg-top1k_50
identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,4.74754295662268,sciplex3-hvg-top1k_50
observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,4.276884327158813,sciplex3-hvg-top1k_50
scgen,belinostat,50,0.8540175622698918,0.96524394,0.0082179066380194,4.439246057018414,sciplex3-hvg-top1k_50
w1ot,belinostat,50,0.8595813639632247,0.821727,0.0050208483265305,4.39195636167769,sciplex3-hvg-top1k_50
w2ot,belinostat,50,0.9002098824587066,0.7935597,0.0068729511106721,4.35970660039244,sciplex3-hvg-top1k_50
identity,belinostat,50,0.4722178793395312,1.5755478,0.0088334102847147,4.892784786523253,sciplex3-hvg-top1k_50
observed,belinostat,50,0.9770335956782484,0.36998373,0.0016709705884568,4.275331248318781,sciplex3-hvg-top1k_50
scgen,belinostat,50,0.8416528450741726,1.0533141,0.0123715665952477,4.520143488323961,sciplex3-hvg-top1k_50
w1ot,belinostat,50,0.7843092724660128,1.0306836,0.0070454241536208,4.457137053835978,sciplex3-hvg-top1k_50
w2ot,belinostat,50,0.9037003944104454,0.885698,0.0100239704317209,4.262222570278944,sciplex3-hvg-top1k_50
identity,tanespimycin,50,0.687473279020452,1.0592682,0.0074127478781156,4.301877832716106,sciplex3-hvg-top1k_50
observed,tanespimycin,50,0.975201506457582,0.27739877,0.002785794949159,3.6792729027764057,sciplex3-hvg-top1k_50
scgen,tanespimycin,50,0.8454439182946004,0.6862942,0.0086681191431125,3.742969048600097,sciplex3-hvg-top1k_50
w1ot,tanespimycin,50,0.9361098737246488,0.5333207,0.0062554135464597,3.6510665129612985,sciplex3-hvg-top1k_50
w2ot,tanespimycin,50,0.9434420431297332,0.5474252,0.007673804408987,3.551245963820757,sciplex3-hvg-top1k_50
identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,3.982182990893091,sciplex3-hvg-top1k_50
observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,3.5816736980540256,sciplex3-hvg-top1k_50
scgen,tanespimycin,50,0.8855786461400873,0.59608966,0.009167930688709,3.555043391089144,sciplex3-hvg-top1k_50
w1ot,tanespimycin,50,0.9284460955375554,0.59577644,0.0086421298305504,3.485349955851996,sciplex3-hvg-top1k_50
w2ot,tanespimycin,50,0.932009310973825,0.62750095,0.0102953573607373,3.395319973522157,sciplex3-hvg-top1k_50
identity,dacinostat,50,0.0507210155656613,3.404473,0.0298068800335749,6.095642338148102,sciplex3-hvg-top1k_50
observed,dacinostat,50,0.974716615465846,0.40933546,0.0024175770767033,3.871824476426706,sciplex3-hvg-top1k_50
scgen,dacinostat,50,0.7833353418504253,1.3615483,0.0104297317925374,4.487488417986145,sciplex3-hvg-top1k_50
w1ot,dacinostat,50,0.8461561370149616,1.3121681,0.0093969691451638,4.1727888815840695,sciplex3-hvg-top1k_50
w2ot,dacinostat,50,0.9714201333689148,0.727412,0.0063532056484837,3.949613890031636,sciplex3-hvg-top1k_50
identity,jnj,50,0.9701748771221158,0.68031627,0.0024343830347061,3.625420353294005,sciplex3-hvg-top1k_50
observed,jnj,50,0.9863947974968614,0.19591069,0.0013776642084121,3.219619954916019,sciplex3-hvg-top1k_50
scgen,jnj,50,0.9401383634832544,0.406549,0.0183132414519786,3.389273970290311,sciplex3-hvg-top1k_50
w1ot,jnj,50,0.9675037415956158,0.3566492,0.0069162413477897,3.1749138153286585,sciplex3-hvg-top1k_50
w2ot,jnj,50,0.948740000623826,0.48946786,0.0049068453162908,3.22539813549146,sciplex3-hvg-top1k_50
identity,hesperadin,50,0.6310896889122442,1.5533723,0.0078915641875937,5.421597775522142,sciplex3-hvg-top1k_50
observed,hesperadin,50,0.979873594530814,0.33458123,0.0022058552724774,5.031141920723318,sciplex3-hvg-top1k_50
scgen,hesperadin,50,0.8712173916891912,1.0989674,0.0099068753939354,5.208520212903333,sciplex3-hvg-top1k_50
w1ot,hesperadin,50,0.7945071067750497,1.1420848,0.0073678294435376,5.305961322302699,sciplex3-hvg-top1k_50
w2ot,hesperadin,50,0.8157490033693959,1.1758916,0.0067058075300883,5.1269032308985,sciplex3-hvg-top1k_50
identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,5.559548522238805,sciplex3-hvg-top1k_50
observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,5.067648829049717,sciplex3-hvg-top1k_50
scgen,hesperadin,50,0.8181142905855672,1.2639773,0.0108478159110381,5.275598182087983,sciplex3-hvg-top1k_50
w1ot,hesperadin,50,0.8856141571956204,1.0306821,0.0072295211323944,5.126129237278978,sciplex3-hvg-top1k_50
w2ot,hesperadin,50,0.9560492614637413,0.71330166,0.0094075868573418,5.175483739976514,sciplex3-hvg-top1k_50
identity,tak,50,0.7253022819913997,1.1194472,0.0068323425611015,4.392230181837361,sciplex3-hvg-top1k_50
observed,tak,50,0.9688825153233064,0.3595411,0.0029434447025414,4.0028855545607644,sciplex3-hvg-top1k_50
scgen,tak,50,0.848021591148504,0.8070144,0.0072055499165435,4.025155087873102,sciplex3-hvg-top1k_50
w1ot,tak,50,0.9373092588919404,0.53420097,0.0058360540156718,3.955935692659108,sciplex3-hvg-top1k_50
w2ot,tak,50,0.9369910156941328,0.5623155,0.0059291049114835,3.8405514773772857,sciplex3-hvg-top1k_50
identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,5.559548522238805,sciplex3-hvg-top1k_50
observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,5.067648829049717,sciplex3-hvg-top1k_50
scgen,hesperadin,50,0.8776653099689995,1.2428695,0.0119269288711075,5.197569119451861,sciplex3-hvg-top1k_50
w1ot,hesperadin,50,0.8774267822006704,1.1082942,0.0080610977306787,5.188222650421789,sciplex3-hvg-top1k_50
w2ot,hesperadin,50,0.9516023941772378,0.9755913,0.0117557344397209,5.186223288653912,sciplex3-hvg-top1k_50
identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,4.74754295662268,sciplex3-hvg-top1k_50
observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,4.276884327158813,sciplex3-hvg-top1k_50
scgen,belinostat,50,0.8891266762424661,0.91541547,0.0098617301388003,4.379071461916583,sciplex3-hvg-top1k_50
w1ot,belinostat,50,0.8626153111461993,0.85871667,0.0055288069191738,4.376462110084044,sciplex3-hvg-top1k_50
w2ot,belinostat,50,0.9712763151104415,0.56367165,0.0060846699726971,4.179956218742337,sciplex3-hvg-top1k_50
identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,6.018443176730672,sciplex3-hvg-top1k_50
observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,3.8510396177976425,sciplex3-hvg-top1k_50
scgen,dacinostat,50,0.8498173188300799,0.9902984,0.0072814144100993,4.3625793641677895,sciplex3-hvg-top1k_50
w1ot,dacinostat,50,0.7672316498579625,1.4697089,0.0105801549414172,4.325387102969186,sciplex3-hvg-top1k_50
w2ot,dacinostat,50,0.9547651907760242,0.6823602,0.0074608041835017,4.026737236915356,sciplex3-hvg-top1k_50
identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,4.1716807309574016,sciplex3-hvg-top1k_50
observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,4.0454624928719,sciplex3-hvg-top1k_50
scgen,tak,50,0.91813921418965,0.7696887,0.0105354942457051,3.9297041395146377,sciplex3-hvg-top1k_50
w1ot,tak,50,0.938422391652435,0.6713228,0.0075103114880039,3.936136546699326,sciplex3-hvg-top1k_50
w2ot,tak,50,0.9361611582881209,0.6417197,0.0058017682506761,3.913812985728188,sciplex3-hvg-top1k_50
identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,4.845600914170623,sciplex3-hvg-top1k_50
observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,4.224248418620469,sciplex3-hvg-top1k_50
scgen,flavopiridol,50,0.8387885920684616,0.8849919,0.0106401563637655,4.226540556670685,sciplex3-hvg-top1k_50
w1ot,flavopiridol,50,0.918110172397345,0.6440163,0.007812837556321,4.182438762002032,sciplex3-hvg-top1k_50
w2ot,flavopiridol,50,0.9286943960135357,0.7089716,0.0102271047169051,4.110062116694783,sciplex3-hvg-top1k_50
identity,flavopiridol,50,0.7362034946756042,1.1569718,0.0073104525308008,4.765039106520811,sciplex3-hvg-top1k
observed,flavopiridol,50,0.9735733853992352,0.34677762,0.0030339465220458,4.236522587476895,sciplex3-hvg-top1k
scgen,flavopiridol,50,0.9282268687551392,0.7235334,0.0108652304127281,4.149229476387324,sciplex3-hvg-top1k
w1ot,flavopiridol,50,0.9679692882843364,0.52538544,0.0040479689813219,4.42632316769485,sciplex3-hvg-top1k
w2ot,flavopiridol,50,0.8815271372833376,1.0533096,0.0255912652427516,4.308447276669368,sciplex3-hvg-top1k
identity,givinostat,50,0.4176520470652645,2.036073,0.0099074257351458,4.603065021041839,sciplex3-hvg-top1k
observed,givinostat,50,0.9683895318292584,0.45088693,0.002492717069108,3.763783109538138,sciplex3-hvg-top1k
scgen,givinostat,50,0.8633305007572817,1.0161865,0.009687234791927,4.389245659151304,sciplex3-hvg-top1k
w1ot,givinostat,50,0.434683485088529,2.0362391,0.0083635329548269,4.6651535870584855,sciplex3-hvg-top1k
